Target,IK CCD Tries No.,Solve Status,IK Iterations,Tgt. X,Tgt. Y,Tgt. Z,Act. X,Act. Y,Act. Z,Pos Error,Act. Roll,Act. Pitch,Act. Yaw,Act. q1,Act. q2,Act. q3,Act. q4,theta1,theta2,theta3,theta4,theta5,theta6,Angular RMSE
0,0,False,2999,220.0,-44.94,281.919,215.104,-43.079,279.971,5.588123007387411,-17.086,1.915,-21.6,0.971718,-0.142803,0.044065,-0.182837,-1.235,-42.726,-70.881,-36.409,35.871,14.488,287.473
0,1,True,198,220.0,-44.94,281.919,219.726,-44.846,281.87,0.2934521887769061,-95.357,-5.359,-12.412,0.664875,-0.737645,0.048549,-0.10707,-10.692,-17.961,-26.479,-28.508,3.59,-67.057,44.313
0,2,False,2999,220.0,-44.94,281.919,226.317,-46.23,288.275,9.053850049216555,99.444,-59.155,-22.362,0.624602,0.589025,-0.441716,0.260402,-8.075,-72.53,-62.691,7.741,-69.95,84.442,287.473
0,3,False,2999,220.0,-44.94,281.919,191.771,-39.173,276.809,29.261924207455284,174.411,-5.452,-13.49,0.053943,0.990503,-0.119477,0.041458,-9.054,9.732,5.812,70.709,-4.678,103.339,287.473
0,4,False,2999,220.0,-44.94,281.919,192.427,-51.618,286.438,28.727576521287837,33.439,-5.467,13.549,0.948336,0.290744,-0.011453,0.126472,-42.152,-23.45,-36.248,87.816,55.381,-44.77,287.473
0,5,True,2635,220.0,-44.94,281.919,219.878,-44.915,281.776,0.18930911974335912,-68.372,-17.48,-44.386,0.724789,-0.561694,0.093392,-0.38789,11.271,-51.179,-59.538,74.463,-54.828,-156.34,121.827
0,6,True,226,220.0,-44.94,281.919,220.163,-44.973,281.862,0.17569818277231303,-14.031,-20.602,-45.088,0.893524,-0.179028,-0.117846,-0.394558,10.879,-64.097,-77.361,74.01,-53.797,-105.67,136.32
0,7,False,2999,220.0,-44.94,281.919,172.89,-39.482,260.277,52.13016216407302,78.829,-21.219,53.091,0.627071,0.62185,0.151657,0.443942,-47.66,-64.881,-64.919,-68.43,-100.0,172.796,287.473
0,8,True,99,220.0,-44.94,281.919,220.259,-44.989,282.049,0.2936814620738882,38.159,0.177,-12.071,0.939773,0.325222,-0.032919,-0.09987,-11.035,-34.489,-56.456,-2.747,22.167,40.707,70.692
0,9,True,138,220.0,-44.94,281.919,219.732,-44.973,281.938,0.271094945734949,-130.119,-22.701,21.2,0.439205,-0.858574,-0.245106,-0.099362,-33.278,-40.559,-38.109,118.548,58.733,121.928,147.336
1,0,True,111,220.0,-43.301,235.0,219.797,-43.171,235.006,0.2412145884450413,-26.655,17.465,-18.099,0.955322,-0.201768,0.181731,-0.116717,-4.981,-21.961,-29.428,-27.363,28.1,1.884,53.958
1,1,True,385,220.0,-43.301,235.0,219.79,-43.154,234.994,0.2564971780631848,10.037,17.192,-18.397,0.97022,0.109183,0.133149,-0.170362,-4.702,-21.492,-28.516,-29.071,27.742,40.355,53.963
1,2,True,325,220.0,-43.301,235.0,219.933,-43.288,234.779,0.23141633195558134,-108.392,14.065,-37.578,0.581653,-0.738959,0.327063,-0.092999,9.29,-48.594,-63.824,120.0,-54.826,131.086,154.684
1,3,True,468,220.0,-43.301,235.0,219.738,-43.17,235.036,0.2946280311102634,89.321,16.374,-16.203,0.6829,0.703073,0.002231,-0.198319,-6.572,-18.867,-24.343,-23.403,23.837,113.658,45.909
1,4,True,149,220.0,-43.301,235.0,219.794,-43.178,235.004,0.2399965623488864,-2.811,10.228,-12.792,0.989765,-0.014351,0.091282,-0.10875,-9.532,-9.426,-6.676,-23.254,8.149,20.813,28.835
1,5,True,311,220.0,-43.301,235.0,220.223,-43.203,235.14,0.2806279058662716,-152.264,-23.854,35.972,0.285011,-0.888176,-0.340424,-0.118426,-36.534,-88.727,-87.825,115.105,74.423,109.623,188.967
1,6,True,437,220.0,-43.301,235.0,219.933,-43.288,234.779,0.23141633195558134,175.073,14.065,-37.578,0.000985,0.940415,-0.314385,-0.129544,9.29,-48.594,-63.824,120.0,-54.826,54.552,154.684
1,7,True,220,220.0,-43.301,235.0,219.772,-43.158,234.924,0.27975928759648805,105.827,10.888,-41.151,0.535411,0.763576,-0.225524,-0.281826,11.562,-56.574,-73.109,114.155,-58.9,-11.207,158.681
1,8,True,130,220.0,-43.301,235.0,220.212,-43.343,235.021,0.21677888725485514,171.951,9.869,-39.136,0.037142,0.93846,-0.327172,-0.104269,10.584,-65.474,-87.603,117.945,-58.299,48.114,171.415
1,9,True,135,220.0,-43.301,235.0,220.186,-43.372,235.144,0.2459787502708222,-168.525,13.534,-11.891,0.110883,-0.981524,0.114058,0.106327,-10.457,-13.935,-15.392,-5.372,15.058,-163.001,28.215
